case_id,seed,trial,Nx,Nv,omega,tau,delta,delta_correct,delta_wrong,delta_missing,delta_extended,u_err,e_err_missing,e_err_extended
FM1_low_omega_strong_gradient,50,86,16,3,0.0,2,0.31449473155496044,,,,,,,
FM1_low_omega_strong_gradient,50,86,16,3,0.0,5,0.49549781770293816,,,,,,,
FM1_low_omega_strong_gradient,50,86,16,3,0.0,10,0.6134866075300529,,,,,,,
FM1_low_omega_strong_gradient,50,87,16,3,0.0,2,0.32470777603015455,,,,,,,
FM1_low_omega_strong_gradient,50,87,16,3,0.0,5,0.4855893310915095,,,,,,,
FM1_low_omega_strong_gradient,50,87,16,3,0.0,10,0.6120200142193339,,,,,,,
FM1_low_omega_strong_gradient,50,88,16,3,0.0,2,0.3181842387380178,,,,,,,
FM1_low_omega_strong_gradient,50,88,16,3,0.0,5,0.48194631689749035,,,,,,,
FM1_low_omega_strong_gradient,50,88,16,3,0.0,10,0.6105139373537547,,,,,,,
FM1_low_omega_strong_gradient,50,89,16,3,0.0,2,0.3260980083945271,,,,,,,
FM1_low_omega_strong_gradient,50,89,16,3,0.0,5,0.4831445325873841,,,,,,,
FM1_low_omega_strong_gradient,50,89,16,3,0.0,10,0.6084041283480076,,,,,,,
FM1_low_omega_strong_gradient,50,90,16,3,0.0,2,0.31553227036071907,,,,,,,
FM1_low_omega_strong_gradient,50,90,16,3,0.0,5,0.49231551538690654,,,,,,,
FM1_low_omega_strong_gradient,50,90,16,3,0.0,10,0.617167248043659,,,,,,,
FM1_low_omega_strong_gradient,50,91,16,3,0.0,2,0.31543589640998737,,,,,,,
FM1_low_omega_strong_gradient,50,91,16,3,0.0,5,0.48370440377535945,,,,,,,
FM1_low_omega_strong_gradient,50,91,16,3,0.0,10,0.6064988533529603,,,,,,,
FM1_low_omega_strong_gradient,50,92,16,3,0.0,2,0.31679587639116435,,,,,,,
FM1_low_omega_strong_gradient,50,92,16,3,0.0,5,0.48725920360488983,,,,,,,
FM1_low_omega_strong_gradient,50,92,16,3,0.0,10,0.6052027833431801,,,,,,,
FM1_low_omega_strong_gradient,50,93,16,3,0.0,2,0.3176116122904688,,,,,,,
FM1_low_omega_strong_gradient,50,93,16,3,0.0,5,0.4845591843510041,,,,,,,
FM1_low_omega_strong_gradient,50,93,16,3,0.0,10,0.6123902263552385,,,,,,,
FM1_low_omega_strong_gradient,50,94,16,3,0.0,2,0.3056974412168598,,,,,,,
FM1_low_omega_strong_gradient,50,94,16,3,0.0,5,0.47363294797567035,,,,,,,
FM1_low_omega_strong_gradient,50,94,16,3,0.0,10,0.597752821841679,,,,,,,
FM1_low_omega_strong_gradient,50,95,16,3,0.0,2,0.3168730002215856,,,,,,,
FM1_low_omega_strong_gradient,50,95,16,3,0.0,5,0.4884408494516217,,,,,,,
FM1_low_omega_strong_gradient,50,95,16,3,0.0,10,0.6059998154401689,,,,,,,
FM1_low_omega_strong_gradient,50,96,16,3,0.0,2,0.3136622316417814,,,,,,,
FM1_low_omega_strong_gradient,50,96,16,3,0.0,5,0.48336772347926965,,,,,,,
FM1_low_omega_strong_gradient,50,96,16,3,0.0,10,0.6070651568373704,,,,,,,
FM1_low_omega_strong_gradient,50,97,16,3,0.0,2,0.3103747631302789,,,,,,,
FM1_low_omega_strong_gradient,50,97,16,3,0.0,5,0.48995441241196513,,,,,,,
FM1_low_omega_strong_gradient,50,97,16,3,0.0,10,0.6195891534980084,,,,,,,
